gasoline,liquidtotal,coke
0.384373968,0.790589645,0.109445996
0.373569323,0.777803103,0.125482171
0.350943591,0.750490975,0.146480132
0.332161382,0.738231152,0.159283103
0.324186347,0.748591027,0.146192774
0.325684504,0.762950228,0.128070382
0.326066892,0.774960962,0.116858834
0.325669076,0.780947337,0.117136808
0.325300139,0.789484626,0.114588436
0.324540172,0.791103261,0.116936845
0.324150922,0.778659179,0.131025825
0.323993463,0.7643641,0.145539502
0.323359413,0.753798742,0.156474752
0.335168956,0.760918918,0.149632536
0.347399227,0.77379949,0.135735412
0.359812644,0.781106606,0.127565908
0.35940447,0.791354466,0.116524205
0.36009685,0.793766096,0.114783403
0.361446113,0.797870859,0.11082642
0.365198726,0.792000245,0.11671252
0.367810268,0.779873579,0.130203268
0.369866067,0.784623031,0.127600401
0.368609058,0.794296588,0.120372278
0.36502554,0.806056865,0.109849351
0.361526358,0.802618446,0.113532561
0.360632028,0.790565735,0.125689325
0.361420478,0.786750905,0.129490242
0.362378905,0.779032899,0.137402718
0.362750711,0.78401312,0.133201926
0.361586052,0.782609959,0.136141667
0.360485156,0.783445893,0.136363136
0.369544416,0.750087294,0.167990222
0.385201391,0.767922435,0.149762929
0.402774738,0.789669657,0.128889969
0.411221845,0.842531894,0.079540026
0.413417141,0.841682668,0.081904047
0.41350112,0.841575694,0.081023219
0.411849687,0.83378491,0.085768785
0.414538471,0.832000597,0.084996661
0.418035256,0.831748268,0.085215782
0.422445566,0.833926369,0.084479051
0.422436561,0.837296992,0.082224357
0.420125458,0.838257628,0.081286728
0.419181419,0.838721527,0.080659181
0.419800909,0.836239916,0.083314862
0.422008037,0.838261806,0.081694791
0.421057145,0.832081628,0.088644184
0.421013587,0.834627467,0.086026424
0.421369789,0.834260546,0.0862862
0.432210129,0.849220965,0.071049951
0.44633178,0.861180135,0.058600821
0.456590289,0.864725956,0.055578177
0.460203793,0.865536954,0.05545854
0.4567868,0.855606378,0.066491294
0.454751187,0.863561043,0.058439247
0.44973327,0.861218971,0.060846319
0.445344125,0.86932016,0.053177054
0.447910611,0.871443369,0.05147375
0.452301583,0.88524591,0.038376497
0.455153471,0.892296493,0.031753439
0.451379471,0.889953302,0.034065038
0.44437965,0.882678974,0.040561608
0.443808808,0.877708351,0.045412484
0.449246357,0.875314349,0.048198397
0.456459977,0.875401834,0.048696572
0.460644496,0.871255363,0.052625273
0.458583648,0.87297368,0.050834389
0.460888113,0.866006159,0.056283852
0.465147383,0.885047981,0.036914344
0.470018025,0.888084237,0.034245483
0.462430187,0.880868287,0.044020068
0.453955091,0.865094923,0.061366288
0.449680724,0.862435938,0.065170317
0.45217072,0.870722267,0.057405391
0.453916239,0.867584581,0.067745731
0.452288641,0.862311868,0.073567501
0.451696151,0.863307174,0.072721304
0.449964834,0.86161309,0.068082517
0.450987712,0.862104588,0.067341185
0.454572917,0.86167642,0.067183565
0.460177291,0.859914016,0.068319611
0.463729271,0.86127503,0.066721332
0.464705549,0.853412308,0.074734584
0.464753302,0.852839387,0.074889254
0.461630924,0.845311559,0.08068981
0.458012479,0.847971037,0.073984082
0.450193885,0.84312455,0.074989732
0.449313752,0.84387983,0.071193068
0.447775746,0.84339115,0.071140063
0.449196621,0.846502335,0.067109052
0.444578811,0.845245269,0.068357151
0.441147023,0.838343281,0.075674635
